ItemId	Name	MasterType	SonType	bagtype	Icon	NeedGrades	ItemLevel	ItemOrder	Job	MaxCount	Quality	BaseProperty	BaseValue	AddProperty1	AddValue1	AddProperty2	AddValue2	AddProperty3	AddValue3	AddProperty4	AddValue4	SellGold	Description	
11007	紫金刀	1	9	1	equip_icon_2	1	1	1007	0	1	1	7	18	2	6	0	0	0	0	0	0	1200	紫金刀
11008	赤魂刃	1	10	1	equip_icon_1	1	1	1008	0	1	1	7	32	1	6	0	0	0	0	0	0	1200	赤魂刃
11009	神武头盔	1	1	1	equip_icon_12	1	2	1009	0	1	1	8	10	1	4	0	0	0	0	0	0	620	神武头盔
11010	银龙战甲	1	2	1	equip_icon_16	1	2	1010	0	1	1	8	18	2	6	0	0	0	0	0	0	720	银龙战甲
11011	红澜战裙	1	3	1	equip_icon_15	1	2	1011	0	1	1	8	14	3	5	0	0	0	0	0	0	820	红澜战裙
11012	紫泪螺	1	4	1	equip_icon_13	1	2	1012	0	1	1	8	42	4	3	0	0	0	0	0	0	920	紫泪螺
11013	神武护腕	1	5	1	equip_icon_11	1	2	1013	0	1	1	8	4	5	4	0	0	0	0	0	0	1020	艳丽飘逸的护腕，好像武道之仙的样子
11014	蛮戒	1	6	1	equip_icon_14	1	2	1014	0	1	1	8	27	6	3	0	0	0	0	0	0	1120	上古部族遗留的古宝
11015	十战刀	1	9	1	equip_icon_9	1	2	1015	0	1	1	7	20	2	8	0	0	0	0	0	0	1220	九为极，十为极之上，此刀刀意凝而欲出，摄人心魂
11016	止戈刃	1	10	1	equip_icon_10	1	2	1016	0	1	1	7	34	1	8	0	0	0	0	0	0	1220	刀起而止戈，吹毛断发，无往不利
11017	蛮牛头盔	1	1	1	equip_icon_4	1	1	1017	0	1	2	8	8	1	2	8	8	0	0	0	0	600	蛮牛头盔
11018	蛮牛战甲	1	2	1	equip_icon_8	1	1	1018	0	1	2	8	16	2	4	8	16	0	0	0	0	700	蛮牛战甲
11019	蛮牛战裙	1	3	1	equip_icon_7	1	1	1019	0	1	2	8	12	3	3	8	12	0	0	0	0	800	蛮牛战裙
11020	珍珠项链	1	4	1	equip_icon_5	1	1	1020	0	1	2	8	40	4	1	15	40	0	0	0	0	900	珍珠项链
11021	蛮牛护腕	1	5	1	equip_icon_3	1	1	1021	0	1	2	8	2	5	2	13	2	0	0	0	0	1000	蛮牛护腕
11022	琉璃戒指	1	6	1	equip_icon_6	1	1	1022	0	1	2	8	25	6	1	14	25	0	0	0	0	1100	琉璃戒指
11023	紫金刀	1	9	1	equip_icon_2	1	1	1023	0	1	2	7	18	2	6	7	18	0	0	0	0	1200	紫金刀
11024	赤魂刃	1	10	1	equip_icon_1	1	1	1024	0	1	2	7	32	1	6	7	32	0	0	0	0	1200	赤魂刃
11025	神武头盔	1	1	1	equip_icon_12	1	2	1025	0	1	2	8	10	1	4	8	10	0	0	0	0	620	神武头盔
11026	银龙战甲	1	2	1	equip_icon_16	1	2	1026	0	1	2	8	18	2	6	8	18	0	0	0	0	720	银龙战甲
11027	红澜战裙	1	3	1	equip_icon_15	1	2	1027	0	1	2	8	14	3	5	8	14	0	0	0	0	820	红澜战裙
11028	紫泪螺	1	4	1	equip_icon_13	1	2	1028	0	1	2	8	42	4	3	15	42	0	0	0	0	920	紫泪螺
11029	神武护腕	1	5	1	equip_icon_11	1	2	1029	0	1	2	8	4	5	4	13	4	0	0	0	0	1020	艳丽飘逸的护腕，好像武道之仙的样子
11030	蛮戒	1	6	1	equip_icon_14	1	2	1030	0	1	2	8	27	6	3	14	27	0	0	0	0	1120	上古部族遗留的古宝
11031	十战刀	1	9	1	equip_icon_9	1	2	1031	0	1	2	7	20	2	8	7	20	0	0	0	0	1220	九为极，十为极之上，此刀刀意凝而欲出，摄人心魂
11032	止戈刃	1	10	1	equip_icon_10	1	2	1032	0	1	2	7	34	1	8	7	34	0	0	0	0	1220	刀起而止戈，吹毛断发，无往不利
11033	蛮牛头盔	1	1	1	equip_icon_4	1	1	1033	0	1	3	8	8	1	2	8	8	10	4	0	0	600	蛮牛头盔
11034	蛮牛战甲	1	2	1	equip_icon_8	1	1	1034	0	1	3	8	16	2	4	8	16	10	6	0	0	700	蛮牛战甲
11035	蛮牛战裙	1	3	1	equip_icon_7	1	1	1035	0	1	3	8	12	3	3	8	12	10	5	0	0	800	蛮牛战裙
11036	珍珠项链	1	4	1	equip_icon_5	1	1	1036	0	1	3	8	40	4	1	15	40	12	10	0	0	900	珍珠项链
11037	蛮牛护腕	1	5	1	equip_icon_3	1	1	1037	0	1	3	8	2	5	2	13	2	11	6	0	0	1000	蛮牛护腕
11038	琉璃戒指	1	6	1	equip_icon_6	1	1	1038	0	1	3	8	25	6	1	14	25	12	8	0	0	1100	琉璃戒指
11039	紫金刀	1	9	1	equip_icon_2	1	1	1039	0	1	3	7	18	2	6	7	18	11	6	0	0	1200	紫金刀
11040	赤魂刃	1	10	1	equip_icon_1	1	1	1040	0	1	3	7	32	1	6	7	32	11	8	0	0	1200	赤魂刃
11041	神武头盔	1	1	1	equip_icon_12	1	2	1041	0	1	3	8	10	1	4	8	10	10	6	0	0	620	神武头盔
11042	银龙战甲	1	2	1	equip_icon_16	1	2	1042	0	1	3	8	18	2	6	8	18	10	8	0	0	720	银龙战甲
11043	红澜战裙	1	3	1	equip_icon_15	1	2	1043	0	1	3	8	14	3	5	8	14	10	7	0	0	820	红澜战裙
11044	紫泪螺	1	4	1	equip_icon_13	1	2	1044	0	1	3	8	42	4	3	15	42	12	12	0	0	920	紫泪螺
11045	神武护腕	1	5	1	equip_icon_11	1	2	1045	0	1	3	8	4	5	4	13	4	11	8	0	0	1020	艳丽飘逸的护腕，好像武道之仙的样子
11046	蛮戒	1	6	1	equip_icon_14	1	2	1046	0	1	3	8	27	6	3	14	27	12	10	0	0	1120	上古部族遗留的古宝
11047	十战刀	1	9	1	equip_icon_9	1	2	1047	0	1	3	7	20	2	8	7	20	11	8	0	0	1220	九为极，十为极之上，此刀刀意凝而欲出，摄人心魂
11048	止戈刃	1	10	1	equip_icon_10	1	2	1048	0	1	3	7	34	1	8	7	34	11	10	0	0	1220	刀起而止戈，吹毛断发，无往不利
11049	蛮牛头盔	1	1	1	equip_icon_4	1	1	1049	0	1	4	8	8	1	2	8	8	10	4	15	25	600	蛮牛头盔
11050	蛮牛战甲	1	2	1	equip_icon_8	1	1	1050	0	1	4	8	16	2	4	8	16	10	6	15	36	700	蛮牛战甲
11051	蛮牛战裙	1	3	1	equip_icon_7	1	1	1051	0	1	4	8	12	3	3	8	12	10	5	15	28	800	蛮牛战裙
11052	珍珠项链	1	4	1	equip_icon_5	1	1	1052	0	1	4	8	40	4	1	15	40	12	10	10	3	900	珍珠项链
11053	蛮牛护腕	1	5	1	equip_icon_3	1	1	1053	0	1	4	8	2	5	2	13	2	11	6	10	2	1000	蛮牛护腕
11054	琉璃戒指	1	6	1	equip_icon_6	1	1	1054	0	1	4	8	25	6	1	14	25	12	8	10	4	1100	琉璃戒指
11055	紫金刀	1	9	1	equip_icon_2	1	1	1055	0	1	4	7	18	2	6	7	18	11	6	12	4	1200	紫金刀
11056	赤魂刃	1	10	1	equip_icon_1	1	1	1056	0	1	4	7	32	1	6	7	32	11	8	12	6	1200	赤魂刃
11057	神武头盔	1	1	1	equip_icon_12	1	2	1057	0	1	4	8	10	1	4	8	10	10	6	15	27	620	神武头盔
11058	银龙战甲	1	2	1	equip_icon_16	1	2	1058	0	1	4	8	18	2	6	8	18	10	8	15	38	720	银龙战甲
11059	红澜战裙	1	3	1	equip_icon_15	1	2	1059	0	1	4	8	14	3	5	8	14	10	7	15	30	820	红澜战裙
11060	紫泪螺	1	4	1	equip_icon_13	1	2	1060	0	1	4	8	42	4	3	15	42	12	12	10	5	920	紫泪螺
11061	神武护腕	1	5	1	equip_icon_11	1	2	1061	0	1	4	8	4	5	4	13	4	11	8	10	4	1020	艳丽飘逸的护腕，好像武道之仙的样子
11062	蛮戒	1	6	1	equip_icon_14	1	2	1062	0	1	4	8	27	6	3	14	27	12	10	10	6	1120	上古部族遗留的古宝
11063	十战刀	1	9	1	equip_icon_9	1	2	1063	0	1	4	7	20	2	8	7	20	11	8	12	6	1220	九为极，十为极之上，此刀刀意凝而欲出，摄人心魂
11064	止戈刃	1	10	1	equip_icon_10	1	2	1064	0	1	4	7	34	1	8	7	34	11	10	12	8	1220	刀起而止戈，吹毛断发，无往不利
31001	解毒草	3	1	5	icon4_6	1	1	3001	0	1	1	0	0	0	0	0	0	0	0	0	0	1300	解毒草
31002	通用祝福卡	3	2	4	icon4_6	1	1	3002	0	99	1	0	0	0	0	0	0	0	0	0	0	1300	可用于祝福所有品级的装备
31003	一品祝福卡	3	2	4	icon4_6	1	1	3003	0	99	1	0	0	0	0	0	0	0	0	0	0	1300	可用于祝福一品装备
31004	二品祝福卡	3	2	4	icon4_6	1	1	3004	0	99	2	0	0	0	0	0	0	0	0	0	0	1300	可用于祝福二品装备
31005	三品祝福卡	3	2	4	icon4_6	1	1	3005	0	99	3	0	0	0	0	0	0	0	0	0	0	1300	可用于祝福三品装备
31006	四品祝福卡	3	2	4	icon4_6	1	1	3006	0	99	4	0	0	0	0	0	0	0	0	0	0	1300	可用于祝福四品装备
31007	低级进阶卡	3	3	4	icon4_6	1	1	3007	0	99	2	0	0	0	0	0	0	0	0	0	0	1300	用于装备进阶，增加少量成功率
31008	高级进阶卡	3	3	4	icon4_6	1	1	3008	0	99	4	0	0	0	0	0	0	0	0	0	0	1300	用于装备进阶，增加较多成功率
31009	破碎金系卡	3	4	4	material_icon_1	1	1	3009	0	99	1	7	5	0	0	0	0	0	0	0	0	1400	破碎金系卡，物理攻击+5
31010	普通木系卡	3	4	4	material_icon_2	1	1	3010	0	99	2	8	10	0	0	0	0	0	0	0	0	1500	普通木系卡，物理防御+8
31011	高级水系卡	3	4	4	material_icon_3	1	1	3011	0	99	3	15	60	0	0	0	0	0	0	0	0	1400	高级水系卡，生命+60
31012	传奇火系卡	3	4	4	material_icon_4	1	1	3012	0	99	4	9	12	0	0	0	0	0	0	0	0	1500	传奇火系卡，法术攻击+16
31013	传奇土系卡	3	4	4	material_icon_5	1	1	3013	0	99	4	10	20	0	0	0	0	0	0	0	0	1500	传奇土系卡，法术防御+20
33001	男战士技能书	3	5	5	icon4_13	1	1	3014	0	1	3	0	0	0	0	0	0	0	0	0	0	1600	男战士技能书
33002	女战士技能书	3	5	5	icon4_14	1	1	3015	0	1	3	0	0	0	0	0	0	0	0	0	0	1700	女战士技能书
33003	男法师技能书	3	5	5	icon4_15	1	1	3016	0	1	3	0	0	0	0	0	0	0	0	0	0	1800	男法师技能书
33004	女法师技能书	3	5	5	icon4_16	1	1	3017	0	1	3	0	0	0	0	0	0	0	0	0	0	1900	女法师技能书
