buffId	buffName	BuffIcon	type	info	icon	EffectId	soundId	buffCategory	buffCategoryInfo	swoon	freeze	superArmor	TriggerRatio	liftTime	interval	movePoint	AttackSpeed	bodyScale	shieldHpValue	hpValue	hpPer	AttackPer	
24	20~30级副本精英怪加血	1011	0	副本精英怪解穴	1011	110039	0	10	0	0	0	-1	10000	2000	1000	-1	-1	-1	0	0	300	0
25	30~40级副本精英怪加血	1011	0	副本精英怪解穴	1011	110039	0	10	0	0	0	-1	10000	2000	1000	-1	-1	-1	0	0	400	0
26	40级以上副本精英怪加血	1011	0	副本精英怪解穴	1011	110039	0	10	0	0	0	-1	10000	2000	1000	-1	-1	-1	0	0	500	0
27	狂暴-加速攻	1013	0	精英怪狂暴加速度加攻击	1013	110040	0	5	0	0	0	-1	10000	3600000	0	200	-1	-1	0	0	0	5000
28	狂暴-加霸攻	1013	0	精英怪狂暴加霸体加攻击	1013	110041	0	9	0	0	0	3	10000	3600000	0	-1	-1	-1	0	0	0	5000
29	狂暴-加速攻(魔龙用)	1013	0	精英怪狂暴加速度加攻击	1013	0	0	5	0	0	0	-1	10000	3600000	0	200	-1	-1	0	0	0	5000
1001	冰冻法术（等级1）	1001	1	冰冻5秒	1001	0	0	2	0	0	1	-1	10000	5000	0	-1	-1	-1	0	0	0	0
1002	冰冻法术（等级2）	1001	1	冰冻5.3秒	1001	110006	0	2	0	0	1	-1	10000	5300	0	-1	-1	-1	0	0	0	0
1003	冰冻法术（等级3）	1001	1	冰冻5.6秒	1001	110006	0	2	0	0	1	-1	10000	5600	0	-1	-1	-1	0	0	0	0
1004	冰冻法术（等级4）	1001	1	冰冻5.9秒	1001	110006	0	2	0	0	1	-1	10000	5900	0	-1	-1	-1	0	0	0	0
1005	冰冻法术（等级5）	1001	1	冰冻6.2秒	1001	110006	0	2	0	0	1	-1	10000	6200	0	-1	-1	-1	0	0	0	0
1006	冰冻法术（等级6）	1001	1	冰冻6.5秒	1001	110006	0	2	0	0	1	-1	10000	6500	0	-1	-1	-1	0	0	0	0
1007	冰冻法术（等级7）	1001	1	冰冻6.8秒	1001	110006	0	2	0	0	1	-1	10000	6800	0	-1	-1	-1	0	0	0	0
1008	冰冻法术（等级8）	1001	1	冰冻7.1秒	1001	110006	0	2	0	0	1	-1	10000	7100	0	-1	-1	-1	0	0	0	0
1009	冰冻法术（等级9）	1001	1	冰冻7.4秒	1001	110006	0	2	0	0	1	-1	10000	7400	0	-1	-1	-1	0	0	0	0
1010	冰冻法术（等级10）	1001	1	冰冻7.7秒	1001	110006	0	2	0	0	1	-1	10000	7700	0	-1	-1	-1	0	0	0	0
2001	火焰法术（减速）	1023	1	减速30%持续1秒	1023	110042	0	0	0	0	0	-1	10000	1000	0	70	-1	-1	0	0	0	0
3001	BOSS铠甲特效	3001	0	特效	3001	110049	0	0	0	0	0	-1	10000	3600000	0	-1	-1	-1	0	0	0	0
4001	BOSS技能8特效	4001	0	释放技能7增加buff	4001	110050	0	0	0	0	0	-1	10000	3600000	0	-1	-1	-1	0	0	0	0
5001	眩晕	5001	1	眩晕3秒	5001	110006	0	1	0	1	0	-1	10000	2500	0	-1	-1	-1	0	0	0	0
